matrix,audiovisual/aventura/ficcao/cyberpunk/scifi/acao/pos-apocaliptico,0,1
a historia de terra media 1,livro/tolkien/ficcao/senhor-dos-aneis/fantasia/contos/epica,0,1
double fine,audiovisual/documentario/nao-ficcao/jogos/biografia/historia/double-fine,0,1
tynikin,jogo/playstation/acao/aventura/indie/estrategia/plataforma,144,1
pinochet,audiovisual/historia-publica/chile/nao-ficcao/marxismo/politica/socialismo,0,1
moonring,jogo/rpg/medieval/fantasia/dark-fantasy/roguelike/pc/crpg/retro,0,1
motoqueiro fantasma,livro/hq/graphic-novel/marvel/super-heroi/terror/fantasia/ficcao,0,1
Cyberpunk 2077,jogo/cyberpunk/rpg/scifi/fps/acao/playstation,0,1
the orville,audiovisual/ficcao/scifi/comedia/drama,0,1
digimon world 3,jogo/digimon/rpg/jrpg/2d/aventura/anime/pc,0,1
o cavaleiro das trevas,livro/hq/batman/ficcao/super-heroi/fantasia/crime,0,1
shining force,jogo/estrategia/rpg/jrpg/nintendo/fantasia/medieval/turnos/aventura,0,1
tales of vesperia,jogo/tales-of/rpg/anime/playstation/jrpg/fantasia/aventura,0,1
super metroid,jogo/acao/aventura/metroidvania/metroid/scifi/espaco/plataforma/switch,0,1
metroid prime,jogo/metroid/fps/aventura/metroidvania/scifi/espaco/switch,50,1
roadwarden,jogo/rpg/text-based/aventura/indie/pixel-art/interactive-fiction/narrativa/choose-your-adventure/fantasia/visual-novel/dark-fantasy/atmosferico/misterio/crime/drama/detetive/lgbt,0,1
the sexy brutale,jogo/nintendo/puzzle/aventura/misterio/indie/viagem-no-tempo/detetive/narrativa/stealth/atmosferico/point-and-click/sombrio/isometrico,0,1
citizen sleeper,jogo/rpg/boardgame/exploracao/futurista/visual-novel/scifi/aventura/indie/switch,7,1
infernax,jogo/acao/aventura/indie/rpg/switch/metroidvania/medieval,20,1
shovel knight,jogo/nintendo/acao/aventura/indie,0,1
a chegada,audiovisual/ficcao/scifi/drama/alienigena/ficcao-especulativa/militar,0,1
star trek tos,audiovisual/ficcao/scifi/espaco/star-trek/acao/aventura,0,1
star wars 4,audiovisual/ficcao/star-wars/scifi/fantasia/acao/aventura,0,1
o ultimo ancestral,livro/ficcao/scifi/afrofuturismo/fantasia,0,1
rise of the ronin,jogo/acao/aventura/combate/epico/playstation,70,1
indiana jones and the fate of atlantis,jogo/indiana-jones/aventura/point-and-click/classico/anos-90/pixel-art/retro/narrativa/puzzle/humor/acao/2d/remake/atmosferico/cinematografico,0,1
sonic frontiers,jogo/playstation/sonic/acao/aventura/plataforma/exploracao,60,1
ace combat,jogo/voo/jatos/militar/guerra/tiro/arcade/cinematografico/3d/simulacao/fps/acao/terceira-pessoa/narrativa/scifi/realistico,60,1
saga frontier,jogo/rpg/jrpg/2d/turnos/drama/narrativa/anime/pc/nintendo,40,1
ilse a bruxa,livro/fantasia/ficcao/epico/alta-fantasia/aventura/scifi,0,1
watchmen,audiovisual/ficcao/quadrinhos/super-heroi/scifi/acao/drama,0,1
batman ano 1,livro/hq/batman/ficcao/super-heroi/fantasia/crime,0,1
neverwinter nights,jogo/pc/rpg/crpg/dungeons-and-dragons/fantasia/real-time-with-pause/aventura/magia/retro,0,1
tudo sobre arte,livro/nao-ficcao/arte/historia/referencia/educacao/inglaterra/design/cultura,0,1
