Name,Tags,Price,Tier
animal well,jogo/switch/exploracao/metroidvania/puzzle/plataforma/terror/pixel-art/aventura/acao/misterio/2d/atmosferico/relaxante/fofo/surrealista/nao-linear/retro/indie,25,1
hi fi rush,jogo/playstation/ritmo/acao/hack-n-slash/cartoon/plataforma/musical/character-action/colorido/comedia/beatn-up/anime/cyberpunk/terceira-pessoa/robo/aventura,30,1
ace combat,jogo/voo/jatos/militar/guerra/tiro/arcade/cinematografico/3d/simulacao/fps/acao/terceira-pessoa/narrativa/scifi/realistico,60,1
chrono cross,jogo/jrpg/rpg/narrativa/exploracao/party-rpg/aventura/puzzle/fantasia/scifi/magia/viagem-no-tempo/drama/text-adventure/nostalgia/classico/anime/combate-em-turnos,20,1
yooka-layle,jogo/aventura/indie/plataforma/2.5d/colorido/familia/exploracao/comedia/fofo/puzzle/2d/dificil,0,1
esquadrao 51 contra os discos voadores,jogo/pc/bullet-hell/fmv/side-scrolling/arcade/space/cinematografico/retro/aventura/alienigena/scifi/noir/fisica/combate/narrativa/corrida,8,1
island of caliph,jogo/movimento-em-grade/retro/crpg/dungeon-crawling/3d/mundo-aberto/fps/anos-80/rpg/mitologia/acao/exploracao/fantasia/aventura/religiao/indie,10,1
psychonauts 2,jogo/plataforma/comedia/aventura/cult/acao/classico/surrealista/coletaton/3d/pc,60,1
star trek ressurgence,jogo/ficcao-interativa/visual-novel/point-and-click/acao/aventura/terceira-pessoa/narrativa/casual/scifi/espacial/drama/cinematografico/futurista,25,1
street fighter,jogo/luta/2d/street-fighter/acao/arcade/aventura/mundo-aberto/rpg/3d/artes-marciais/anime,60,1
the forgotten city,jogo/aventura/viagem-no-tempo/misterio/exploracao/investigacao/indie/narrativa/rpg/fpd/walking-simulator/atmosferico/filosofia/fantasia/mundo-aberto/roma,0,1
zet zillions,jogo/espaco/deck-building/exploracao/roguelike/estrategia/roguelite/turnos/2d/humor-pesado/atmosferico/fantasia/scifi/anime,9,1
