Name,Tags,DoneDate
sandman 7,livro/sandman/fantasia,2020-12-27
sandman 8,livro/sandman/fantasia,2020-12-27
No tempo das diligências,audiovisual/faroeste/eua,2020-12-30
O Senhor dos Aneis As Duas Torres Extras,audiovisual/documentario/cinema/tolkien/senhor-dos-aneis/historia,2021-01-06
Lobo Solitario 23,livro/lobo-solitario/samurai,2020-12-01
Pra Frente Brasil,audiovisual/drama/eua,2021-01-17
jeremiah johnson,audiovisual/faroeste/eua,2021-01-24
O Senhor dos Anéis O Retorno do Rei,livro/senhor-dos-aneis/tolkien/aventura/alta-fantasia/epica,2021-02-06
Dragon Quest XI,jogo/pc/dragon-quest/rpg/jrpg/terceira-pessoa/3d/turno/fantasia-medieval,2021-02-14
avgn season 4,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2021-02-13
super mario 3d land,jogo/plataforma/mario/aventura/nintendo/coletaton/nintendo,2021-02-19
A Short Hike,jogo/pc/a-short-hike/aventura/isometrico/pixel-art/exploracao/fantasia,2021-02-20
destravado,audiovisual/documentario/jogos/brasil/historia/omelete,2021-02-21
zelda link berween worlds,zelda/jogo/aventura/fantasia/acao/nintendo/nintendo,2021-02-28
o escandalo,audiovisual/drama/eua,2021-03-07
A Guerra dos Consoles,livro/blake-harris/historia/jogos/tecnologia/biografia,2021-03-07
destacamento blood,audiovisual/spike-lee/guerra/drama/eua,2021-03-19
star trek ds9 6,audiovisual/scifi/espaco/star-trek/acao/aventura,2021-03-19
Logo logo,livro/ciencias/tecnologia/comedia/hq/futurismo,2021-03-23
o longo dia das bruxas,livro/super-heroi/batman,2021-03-25
o povo contra OJ,audiovisual/crime/drama/eua,2021-03-27
rede de intrigas,audiovisual/drama/eua,2021-03-27
titanfall 2,jogo/playstation/titanfall/acao/primera-pessoa/3d/shooter/scifi,2021-04-02
O ultimo suspiro de cesar,livro/sam-kean/ciencias/historia/quimica/biologia,2021-04-03
yoshitaka amano,audiovisual/documentario/jogos/archipel/artes/japao,2021-04-08
o tigre e o dragão,audiovisual/acao/china/fantasia/aventura/historia,2021-04-11
Amilcar,livro/historia/antiguidade/roma/cartago,2021-04-15
rosa e momo,audiovisual/drama/italia,2021-04-17
Como mentir com estatística,livro/ciencias/matematica/economia/psicologia/politica,2021-04-17
gran torino,audiovisual/drama/eua,2021-04-18
archipel yoko taro,audiovisual/documentario/jogos/archipel/japao/artes,2021-04-18
archipel chaterine,audiovisual/documentario/jogos/archipel/artes/artes,2021-04-18
Ask Iwata,livro/biografia/jogos/negocios/game-design,2021-04-20
Você não merece ser feliz,livro/comedia/daniel-furlan/brasil/auto-ajuda/tv-quase,2021-04-21
riqueza toxica,audiovisual/scifi/eua,2021-04-24
sandman 9,livro/sandman/fantasia,2021-05-01
dois estranhos,audiovisual/drama/scifi/eua,2021-05-02
wandavision,audiovisual/vingadores/super-heroi,2021-05-02
shenmue,jogo/playstation/shenmue/rpg/jrpg/terceira-pessoa/3d/acao/japao,2021-05-05
lobo solitario 24,livro/lobo-solitario/samurai,2021-05-06
lobo solitario 25,livro/lobo-solitario/samurai,2021-05-12
avgn season 5,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2021-05-12
relatos do mundo,audiovisual/faroeste/eua,2021-05-16
o som do silencio,audiovisual/drama/eua/franca,2021-05-23
archipel keichi okabe,audiovisual/documentario/jogos/musica/archipel/musica,2021-05-16
invincible,audiovisual/super-heroi/invincible,2021-05-27
Halo 2,jogo/pc/halo/fps/primeira-pessoa/3d/acao/shooter/scifi/espaco,2021-05-28
portoes de fogo,livro/historia/-militar/grecia/antiguidade/steven-pressfield,2021-05-30
avgn season 6,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2021-06-03
infiltrado na klan,audiovisual/drama/policial/eua,2021-06-05
Halo 3,jogo/pc/halo/fps/primeira-pessoa/3d/acao/shooter/scifi/espaco,2021-06-06
dragon quest I,jogo/nintendo/dragon-quest/rpg/jrpg/de-cima/pixel-art/turno/fantasia-medieval,2021-06-08
falcao e o soldado invernal,audiovisual/super-heroi/marvel,2021-06-18
Halo 3 odst,jogo/pc/halo/fps/primeira-pessoa/3d/acao/shooter/scifi/espaco,2021-06-19
a viagem de chihiro,audiovisual/japao/ghibli/fantasia/animacao/infantil,2021-06-20
Sapiens,livro/historia/ciencias/filosofia/antropologia/sociologia,2021-06-24
astros playroom,jogo/aventura/plataforma/coletaton/terceira-pessoa/playstation,2021-06-27
Spider-man Miles Morales,jogo/playstation/spider-man/acao/terceira-pessoa/3d/mundo-aberto/moderno,2021-07-04
a companhia negra,livro/glen-cook/companhia-negra/fantasia/dark-fantasy/epica,2021-07-08
uma noite em miami,audiovisual/drama/eua,2021-07-10
memorias de uma gueixa,audiovisual/drama/japao/eua,2021-07-11
the expanse s3,audiovisual/scifi/espaco/the-expanse/eua,2021-07-13
loki,audiovisual/marvel/super-heroi/eua,2021-07-15
adeus lenin,audiovisual/drama/alemanha,2021-07-18
horizon zero dawn,jogo/playstation/horizon/mundo-aberto/terceira-pessoa/3d/acao/scifi,2021-07-18
metroid zero mission,jogo/acao/aventura/metroidvania/metroid/scifi/nintendo,2021-07-23
imperdoáveis,audiovisual/faroeste/eua,2021-07-24
brooklyn 99 s2,audiovisual/comedia/brooklin-99/eua,2021-07-27
sombras eternas,livro/glen-cook/companhia-negra/fantasia/dark-fantasy/epica,2021-07-27
avgn season 7,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2021-08-01
Flores para Algernon,livro/classico/scifi/young-adult/literatura/psicologia,2021-08-04
Thronebreaker,jogo/playstation/the-witcher/rpg/isometrico/2d/deckbuilding/fantasia-medieval,2021-08-11
brooklyn 99 s3,audiovisual/comedia/brooklin-99/eua,2021-08-13
cinema paradiso,audiovisual/drama/italia,2021-08-14
brooklyn 99 s4,audiovisual/comedia/brooklin-99/eua,2021-08-25
argo,audiovisual//drama/espionagem/eua,2021-08-28
god of war,jogo/god-of-war/acao/soulslike/aventura/playstation,2021-09-03
Press reset,livro/jogos/tecnologia/game-design/arte,2021-09-04
teslapunk,livro/scifi/contos/antologia/literatura-brasileira/teslapunk,2021-09-10
god of war postgame,jogo/god-of-war/acao/soulslike/aventura/playstation,2021-09-10
phoenix wright,jogo/nintendo/phoenix-wright/visual-novel/primeira-pessoa/pixel-art/quebra-cabeca/tribunal,2021-09-13
brooklyn 99 s5,audiovisual/comedia/brooklin-99/eua,2021-09-12
the expanse s4,audiovisual/scifi/espaco/the-expanse/eua,2021-09-14
brooklyn 99 s6,audiovisual/comedia/brooklin-99/eua,2021-09-15
brooklyn 99 s7,audiovisual/comedia/brooklin-99/eua,2021-01-10
weird western,livro/robert-e-howard/faroeste/fantasia/contos/weird-fiction,2021-10-01
seinfeld s1,audiovisual/seinfield/comedia/sitcom/stand-up,2021-10-04
300 de Esparta,livro/historia/acao/hq/antiguidade/grecia,2021-10-05
seinfeld s2,audiovisual/seinfield/comedia/sitcom/stand-up,2021-10-12
metroid samus returns,jogo/acao/aventura/metroidvania/metroid/scifi/nintendo,2021-10-12
doutor jivago,audiovisual/romance/guerra/drama/eua,2021-10-17
star wars squadrons,jogo/scifi/espaco/simulador/aventura/star-wars/playstation,2021-10-17
cidades a vapor,livro/scifi/steampunk/contos/antologia,2021-10-18
doutor estranho,livro/hq/marvel/fantasia/super-heroi/magia,2021-10-18
the secret of monkey island,jogo/pc/monkey-island/side-scrolling/pixel-art/point-and-click/pirata,2021-10-19
tres anuncios para um crime,audiovisual/crime/drama/eua,2021-10-22
rur,livro/scifi/distopia/literatura-tcheca/politica/filosofia,2021-10-25
duna,audiovisual/duna/scifi/space-opera/eua,2021-10-24
butchy cassidy,audiovisual/faroeste/eua,2021-10-25
bowsers fury,jogo/mario/plataforma/aventura/coletaton/nintendo/exploracao,2021-10-25
bowsers fury post-game,jogo/mario/plataforma/aventura/coletaton/nintendo/exploracao,2021-10-26
o ancora,audiovisual/comedia/will-farrel/besteirol/steve-carrel,2021-10-28
os infiltrados,audiovisual/mafia/eua,2021-11-01
control,jogo/acao/aventura/scifi/terror/metroidvania/playstation,2021-11-02
homem-aranha sem volta para casa,audiovisual/scifi/acao/aventura/homem-aranha/super-heroi,2021-12-18
donkey kong country,jogo/plataforma/aventura/donkey-kong/nintendo/classico/snes,2021-11-23
sandman 10,livro/sandman/fantasia,2021-11-25
avgn season 15,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2021-12-26
control fundacao,jogo/acao/aventura/scifi/terror/metroidvania/playstation,2021-11-28
monty python s1,audiovisual/monty-python/comedia/europa/besteirol/inglaterra,2021-11-28
control awe,jogo/acao/aventura/scifi/terror/metroidvania/playstation,2021-12-08
não olhe para cima,audiovisual/adam-mckay/drama/comedia/eua,2021-12-30
mae,audiovisual/drama/terror/eua,2022-01-03
meu pai,audiovisual/drama/inglaterra,2022-01-04
control post-game,jogo/acao/aventura/scifi/terror/metroidvania/playstation,2022-01-05
star trek ds9 7,audiovisual/scifi/espaco/star-trek/acao/aventura,2022-01-12
homem-aranha sem volta para casa,audiovisual/scifi/acao/aventura/homem-aranha/super-heroi,2022-01-14
avgn season 14,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2020-12-31
avgn season 13,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2019-12-31
Apresentando os Ricardos,audiovisual/drama/eua,2022-02-20
The Office season 8,audiovisual/the-office/muckumentary/comedia/eua,2022-03-01
horizon zero dawn frozen wilds,playstation/horizon/eua/terceira-pessoa/3d/acao/scifi,2022-02-25
Estacao perdido,livro/fantasia/scifi/avgn/documentario/videogame/eua,2022-02-28
pokemon black,jogo/nintendo/pokemon/rpg/jrpg/de-cima/pixel-art/turno/fantasia,2021-01-12
avgn season 8,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2022-04-08
sandman 11,livro/sandman/fantasia,2022-04-12
resident evil 7,jogo/terror/primeira-pessoa/acao/quebra-cabeca/exploracao/playstation,2022-04-16
the batman,audiovisual/super-heroi/mafia/eua,2022-04-23
The Office season 9,audiovisual/the-office/mockumentary/comedia,2022-04-28
kaze and the wild masks,jogo/playstation/kaze/aventura/side-scrolling/2d/plataforma/fantasia,2022-04-22
doutor estranho no multiverso da loucura,audiovisual/acao/aventura/doutor-estranho/marvel/super-heroi,2022-05-07
anti-heroi americano,audiovisual/drama/comedia/biografia/eua,2022-05-15
A quinta estacao,livro/n-k-jemisin/fantasia/scifi/distopia/pos-apocaliptico/alta-fantasia,2022-05-20
avgn season 9,audiovisual/documentario/jogos/comedia/avgn/resenhas/historia,2022-05-26
os suspeitos dennis villeneuve,audiovisual/drama/policial/eua,2022-06-04
elden ring,jogo/playstation/dark-souls/rpg/terceira-pessoa/3d/acao/fantasia-medieval,2022-06-09
mad max fury road,audiovisual/scifi/acao/aventura/dieselpunk/pos-apocaliptico,2022-06-14
raiden v,jogo/acao/shootn-up/bullet-hell/arcade/scifi/navinha,2022-06-14
duna,audiovisual/duna/scifi/space-opera/eua,2022-06-25
tico e teco ao resgate,audiovisual/comedia/eua,2022-06-26
frostpunk,jogo/city-building/sobrevivencia/gerenciamento-de-recursos/estrategia/steampunk/simulacao/atmosferico/economia/sombrio/rts/frostpunk/playstation,2022-06-28
toem,jogo/aventura/quebra-cabeca/point-and-click/relaxante/causal/nintendo,2022-07-05
until dawn,jogo/playstation/until-dawn/visual-novel/terceira-pessoa/3d/escolha/qte/terror,2022-07-10
lobo solitario 26,livro/lobo-solitario/samurai,2021-05-16
